,wheel,station,name,x std,x std unc,y std,y std unc,z std,z std unc,phix std,phix std unc,phiy std,phiy std unc,phiz std,phiz std unc,nMuons_mean,nMuons_std,hesse_unc_x,hesse_unc_y,hesse_unc_z,hesse_unc_phix,hesse_unc_phiy,hesse_unc_phiz,njobs
158,2,3,SM_10_6_01_4,0.3457975596062022,0.0737242874220642,1.5045033315154195,0.32076118803848985,1.981530908055131,0.4224638090781372,0.005106089610623276,0.0010886219627608224,0.00199831290620843,0.000426041743106299,0.00220806281995736,0.0004707605749730984,25.333333333333332,5.8981250230796896,0.20141058810300913,1.4067537986442402,1.6159770780140006,0.004951371863770013,0.001729453960069478,0.0020110358649213594,4
159,2,4,SM_10_6_01_4,0.4279517327409398,0.08392823985084216,0.0,0.0,3.8612162440974624,0.7572468067251694,0.008820840089232338,0.0017299090669722007,0.0038514858637539564,0.0007553385221387764,0.005191440231727024,0.0010181251940471826,39.0,14.987174003640066,0.4337633003312817,2.9377985562565136,0.009986968294446804,0.0028468108723371742,0.09958674536374235,0.12692958577044652,4
160,-2,1,SM_10_6_01_500,0.012416317416105068,0.0026471677676122426,0.06597364689037927,0.01406562877762095,0.04676727812715967,0.009970817198712512,0.00011766147473132402,2.5085510700175835e-05,0.0001324984400961385,2.8248762344497663e-05,0.0001088731884295402,2.321184176509733e-05,5331.583333333333,93.21866603298771,0.009126032361692932,0.07954691487837015,0.06424750967936423,0.0001872477859237148,0.00011214057398343087,9.311834316252267e-05,500
161,-2,2,SM_10_6_01_500,0.014983477402565459,0.003194488115725057,0.05174857181521221,0.011032832581382995,0.045212927608327784,0.009639428554629839,0.00018607008461132103,3.967027533148269e-05,0.00014545492399050414,3.101109399222635e-05,0.00011248563801705606,2.398201860495424e-05,5542.083333333333,68.14217534395318,0.010213482918834952,0.07980190787192999,0.07581256931846239,0.00023037577997697586,0.00011184717996742996,0.00010788381095728248,500
162,-2,3,SM_10_6_01_500,0.018673390213263,0.003981180170255516,0.1029709304567791,0.021953476137189048,0.12407346459068877,0.02645255153145731,0.00024328804776889128,5.186918606508559e-05,0.00017275946180228693,3.683244101345729e-05,0.0001558953410508473,3.323699838854285e-05,4899.083333333333,98.34490173348946,0.014684748323799538,0.10085102875033056,0.11551002842466392,0.0003411729766555376,0.00012288639740291302,0.00014230056219144042,500
163,-2,4,SM_10_6_01_500,0.033401301773489225,0.006550534212400879,0.0,0.0,0.1809627274527116,0.03548971071209036,0.0006574886445670227,0.00012894413186972768,0.00018981978847368815,3.7226723288207334e-05,0.00026799020873873096,5.255720399271511e-05,6818.571428571428,2074.457212206298,0.033037539903224375,0.21786142220621413,0.0007866620712133731,0.000213570914953993,0.007567677947315526,0.010090854443964879,500
164,-1,1,SM_10_6_01_500,0.008602012874934149,0.0018339553070361443,0.02033345908813446,0.004335108043577764,0.03628465035953447,0.007735913449365607,0.00025803927395722144,5.501415805556122e-05,7.12610061082263e-05,1.519289755049538e-05,0.00010662668886972358,2.273288644965186e-05,8133.666666666667,750.7741862823194,0.006658475801562998,0.02800487606352389,0.04428899411817794,0.0002305420243686604,5.251164950116625e-05,7.954684678435302e-05,500
165,-1,2,SM_10_6_01_500,0.010883302825350378,0.0023203279586797394,0.02776283171466912,0.005919055609627717,0.0434262811499039,0.009258514249819653,0.0004071938516604326,8.68140208696044e-05,6.779417810307043e-05,1.4453767336314454e-05,0.0001313433112146561,2.800248803948256e-05,7345.083333333333,531.4615282977744,0.008167770503631943,0.03131117212753302,0.057934816820285194,0.0003177770444824484,5.616044723231229e-05,9.85858804968203e-05,500
166,-1,3,SM_10_6_01_500,0.01737618321137058,0.003704614708190539,0.047377145183872725,0.010100841292085423,0.09184127350377543,0.019580625302016465,0.00043090203472886875,9.186862248328494e-05,8.632815199270648e-05,1.840522384650104e-05,0.00016124421554562042,3.437738226252473e-05,6330.916666666667,469.2474552327634,0.01217856723921168,0.042060858685163974,0.0925771480082063,0.0005060905716042007,6.525265001004429e-05,0.0001331031867887968,500
167,-1,4,SM_10_6_01_500,0.019727605934065157,0.003868901831317964,0.0,0.0,0.15282174975134757,0.029970810926289025,0.0012128209795384305,0.00023785376312158359,7.190239743714093e-05,1.4101220292541749e-05,0.0002321504526233457,4.552844953907066e-05,7651.785714285715,2329.8136993387207,0.028583686406260276,0.19040132990231826,0.0013004028771335225,0.00019037870904369233,0.0067073259612158405,0.00903188593967822,500
